region;comuna;pobtotal;totalpm60;pm60rsh;pmsindepsevermod;pmsindepyvulnerahab;pmsinredes;pmhacinamiento;gradointegracion;condiciongeo;ncesfam;nsapu;tasaconsultamorbiliidad;tasadelitos;tasaparqueurbanocomuna;tasaplazascomuna;haypladeco;hayplanregulador;crecimientopob;hectareasquemadas;riesgoinvernalvialidad;inundacionpluvialurbana;interrupcioncaminos;inundacionfluvial;remociónmasacomp;valorterrenos
Metropolitana;alhué;7768;1462;98,97;16,07;14,30;0,00;4,65;0,46;0,64;1,00;0,00;14704,51;5.142;2,75;8,22;1;0;2099;26,20090909;0;9;16;12;9;3,493
Metropolitana;buin;116969;17844;87,79;9,90;8,16;9,88;4,40;0,91;0,25;3,00;1,00;;4.771;0,00;3,75;1;0;25709;1,301666667;0;106;53;97;34;46,9765
Metropolitana;calera de tango;25491;5080;71,22;7,07;5,87;14,70;3,78;0,91;0,19;2,00;0,00;3284,25;4.906;0,00;;1;0;7016;0,01;0;32;6;93;5;18,813
Metropolitana;cerrillos;85041;15617;88,40;8,32;6,45;10,82;5,47;0,94;0,11;0,00;0,00;1646,47;7.767;4,70;4,65;0;1;21053;;0;101;0;0;6;147,574
Metropolitana;cerro navia;127250;26262;97,10;16,99;14,47;27,76;8,47;0,97;0,06;4,00;3,00;;4.806;4,72;3,14;1;1;31994;;0;84;0;0;0;88,8825
Metropolitana;colina;173293;19957;78,11;13,46;11,20;24,97;4,75;0,86;0,25;3,00;2,00;19,79;3.972;2,92;5,14;1;1;31287;0,33;6;36;10;77;41;47,652
Metropolitana;conchalí;121587;27262;89,01;9,50;7,95;10,26;7,26;0,98;0,07;4,00;3,00;1620,79;4.569;0,57;2,32;1;1;33959;;0;73;0;0;0;147,236
Metropolitana;curacaví;35165;7625;88,92;12,92;10,45;3,80;4,07;0,74;0,50;0,00;0,00;583,61;5.105;0,28;1,88;1;1;10372;0,236296296;12;64;3;31;24;6,985
Metropolitana;el bosque;155257;33663;89,97;6,39;5,22;12,52;6,76;0,97;0,10;6,00;3,00;498,65;4.706;0,00;2,93;1;1;40927;;0;61;3;3;0;121,213
Metropolitana;el monte;37497;7228;92,71;9,84;8,55;2,56;5,04;0,88;0,31;1,00;1,00;1394,16;4.459;0,00;2,16;1;0;10119;1,587272727;0;37;0;21;0;14,135
Metropolitana;estación central;181049;27636;89,49;12,34;10,36;19,71;7,57;0,97;0,06;0,00;0,00;1754,74;7.356;0,85;3,98;1;1;57550;;0;89;0;6;0;289967
Metropolitana;huechuraba;101808;16427;78,92;6,58;5,44;10,33;6,48;0,95;0,14;4,00;2,00;;4.991;;;1;1;24449;0,09;0;16;0;4;12;205,2525
Metropolitana;independencia;116943;17676;86,43;14,98;12,76;13,35;6,52;0,98;0,02;2,00;2,00;1007,86;4.882;0,50;1,00;1;1;40315;;0;33;0;0;0;251,485
Metropolitana;isla de maipo;39274;7519;86,79;11,49;10,03;42,16;4,31;0,83;0,38;2,00;2,00;28,06;5.323;0,00;;1;1;10052;2,411538462;0;25;2;39;44;45,512
Metropolitana;la cisterna;103157;20120;80,57;12,80;10,53;6,47;4,67;0,99;0,06;2,00;1,00;829,17;7.356;0,00;0,82;1;1;28340;;0;205;0;3;0;242,0895
Metropolitana;la florida;374836;82997;75,78;3,71;3,00;14,15;3,83;0,75;0,44;9,00;6,00;230,10;4.758;0,39;3,12;1;1;108463;0,1;0;194;0;0;4;259100
Metropolitana;la granja;112022;26334;93,99;5,50;4,64;15,87;6,66;0,98;0,07;4,00;3,00;3552,94;5.572;3,76;2,47;1;1;28112;;0;42;0;0;0;134,057
Metropolitana;la pintana;175421;32079;96,85;4,23;3,62;9,01;8,07;0,92;0,17;6,00;5,00;1147,45;4.918;0,67;4,43;1;0;38288;0,01;0;37;0;0;15;114,905
Metropolitana;la reina;89870;21562;43,66;4,98;3,74;1,34;2,31;0,98;0,08;2,00;0,00;1814,53;4.600;7,35;;1;1;26713;0,105;0;24;0;5;22;323087
Metropolitana;lampa;145160;15296;82,18;13,27;11,31;6,17;5,31;0,86;0,28;3,00;1,00;1263,73;4.285;0,79;2,33;1;0;23610;32,96709677;0;126;3;103;20;13,743
Metropolitana;las condes;296134;70514;32,72;3,61;2,58;5,08;1,49;0,97;0,07;2,00;1,00;207,53;3.223;5,26;4,19;1;1;110410;0,01;0;21;0;17;30;706442
Metropolitana;lo barnechea;112620;19272;39,11;3,95;3,44;18,36;2,90;0,59;0,62;1,00;1,00;1137,71;2.678;2,06;6,01;1;1;24684;1,772;88;25;7;26;109;306639
Metropolitana;lo espejo;87295;20224;98,77;10,97;9,31;10,97;8,21;0,98;0,07;4,00;3,00;912,97;5.422;2,78;3,76;1;1;22662;;0;68;0;0;0;116,032
Metropolitana;lo prado;91290;20688;92,45;7,08;5,93;13,17;6,60;0,97;0,06;4,00;3,00;1289,30;5.649;0,89;1,26;1;1;25788;;0;58;0;12;0;159,741
Metropolitana;macul;123800;27111;75,41;7,11;5,81;11,31;4,53;0,98;0,08;3,00;1,00;2478,37;5.090;0,49;;1;1;40972;;0;28;0;0;10;198,494
Metropolitana;maipú;503635;107216;79,37;3,18;2,52;12,14;3,52;0,90;0,24;9,00;3,00;307,82;3.984;1,39;5,28;1;1;123446;1,525;0;72;0;19;26;230,722
Metropolitana;maría pinto;15352;3368;91,98;10,81;9,53;9,95;3,24;0,73;0,48;1,00;1,00;;3.851;6,26;3,34;1;0;4158;0,261176471;3;27;38;43;12;8,3765
Metropolitana;melipilla;136325;27059;92,13;10,41;8,86;10,26;4,11;0,85;0,42;5,00;2,00;423,67;5.372;;;1;1;38784;1,868333333;4;29;8;173;12;54,809
Metropolitana;padre hurtado;81243;11567;92,45;12,09;9,89;20,84;5,58;0,84;0,32;1,00;1,00;748,25;4.220;;;1;1;19205;10,73333333;0;88;0;42;8;22,531
Metropolitana;paine;78828;14576;94,27;10,57;9,05;14,87;4,46;0,85;0,32;2,00;1,00;279,43;5.286;;;1;1;20706;4,87625;0;24;0;31;2;12,73
Metropolitana;pedro aguirre cerda;96062;24805;91,96;11,74;9,67;18,30;7,11;0,98;0,07;4,00;2,00;1046,12;4.914;2,29;1,77;1;1;27100;;0;30;0;0;20;140,365
Metropolitana;peñaflor;94402;17487;82,26;5,62;4,65;4,59;5,48;0,91;0,25;2,00;2,00;763,31;4.553;2,22;;1;1;24814;0,991111111;0;20;4;14;17;79,796
Metropolitana;peñalolén;236478;45290;78,26;7,12;6,01;12,06;5,43;0,98;0,08;7,00;4,00;1079,38;3.822;7,55;6,32;1;1;60145;0,5;0;88;0;11;0;187,678
Metropolitana;pirque;29060;5917;76,32;8,70;7,40;4,70;4,28;0,87;0,27;1,00;1,00;;4.310;0,00;1,69;1;0;8424;9,906923077;0;19;5;20;27;18,701
Metropolitana;providencia;143974;29585;34,74;5,04;3,69;3,22;1,30;0,99;0,05;3,00;1,00;3220,42;9.748;19,05;1,12;1;1;50877;0,84;0;8;0;0;2;812447
Metropolitana;pudahuel;227820;42553;91,68;5,96;4,92;18,32;6,24;0,87;0,30;5,00;3,00;560,90;5.231;1,59;3,57;1;1;51322;0,98;0;117;0;50;20;127,748
Metropolitana;puente alto;568086;103764;86,79;4,94;4,02;21,35;4,12;0,88;0,29;;;270,20;3.916;;;1;1;122365;0,202857143;0;110;0;0;12;175,963
Metropolitana;quilicura;205624;29171;86,12;7,45;6,06;14,15;4,70;0,91;0,21;0,00;0,00;1616,43;3.842;;4,06;1;1;41088;0,4;0;74;0;22;9;173,0335
Metropolitana;quinta normal;129351;24315;88,18;15,41;12,75;11,09;6,96;0,99;0,04;3,00;2,00;0,00;6.184;0,00;0,00;1;1;38946;;0;53;0;0;0;164,81
Metropolitana;recoleta;154615;31271;90,20;14,89;12,55;21,08;7,04;0,98;0,03;4,00;1,00;1356,46;6.588;18,31;1,38;1;1;52630;0,15;0;239;0;7;8;232,289
